feature,is_existing,gain_pct,mean_abs_shap,perm_delta_auc
V97,False,0.049439074945979586,0.004832504984836669,0.0002947561448516378
V292,False,0.0836712949987648,0.006932375387275611,0.0002915526266695556
V34,False,0.05995244498562315,0.007794791721143237,0.0002846984246928086
V103,False,0.012386567207907375,0.004424857105126676,0.000278534227844629
V79,False,0.2584062911635245,0.004130312329521471,0.00026463735626142126
id_35,False,0.07014928561202301,0.00282306544405201,0.0002532787024181582
V51,False,0.03911969651306873,0.008084196736511971,0.0002521723855649305
V52,False,0.5542442003057818,0.025876431181732384,0.00023136348793540985
V101,False,0.006780630113493375,0.0032834684603427968,0.00022395467114224576
amt_sum_1h,True,0.1459486121012679,0.006664809039780291,0.00020113088517842437
V217,False,0.3408838467733028,0.01588211485433931,0.00017701565903416316
V318,False,0.19363359550562342,0.0017247218746998022,0.00017472632213093585
V134,False,0.06382192327524583,0.0016029208857819208,0.0001637466532809162
V132,False,0.13367892953980165,0.0023786324858103875,0.00014627623262269962
V282,False,0.41345922946628305,0.007345013331933079,0.0001413839495434388
C7,False,1.2465096636629194,0.005174826325132661,0.00013890830262496267
V73,False,0.056204338138884084,0.005513391184594754,0.00011852779936153413
id_12,False,0.29966698559099053,0.007352181945190825,0.0001142142963815207
id_21,False,0.1514791838905227,0.0021306059598993504,0.00010779280399991764
V80,False,0.048082240758380954,0.001221421757066569,0.00010229552580476309
id_18,False,0.03125555584605141,0.004564405876356017,9.298639000914211e-05
id_15,False,0.006122693158623978,0.002916081038745762,9.178060712576875e-05
V263,False,0.07841089966941935,0.0017860789848134497,9.050836971471465e-05
V90,False,0.08572399618258353,0.0032896141967334825,8.758803844046703e-05
V57,False,0.043820772977158,0.001313779946107497,7.927205261563098e-05
V16,False,0.014042624691916378,0.0005674733449614014,7.784511424236973e-05
V40,False,0.04437840051223739,0.005150778921101899,7.671322965686622e-05
V203,False,0.13791831012459105,0.0028102556106942194,6.462141839437274e-05
V232,False,0.03869787601655718,0.001131056770020994,6.400185938038039e-05
amt_mean_1h,True,0.16804759361323954,0.0036629421056475777,5.926600335494081e-05
V204,False,0.15045369007576218,0.0027295644983245993,5.9004284711716706e-05
V85,False,0.07404181980127043,0.0011880734424763923,2.5387895078188284e-05
V50,False,0.013933329657334391,0.00033994784662188046,1.9886517415446113e-05
V43,False,0.05095157731710506,0.0022391683389038942,1.982858546512034e-05
V39,False,0.03033738075982118,0.0020309786845610716,1.882270556848864e-05
V264,False,0.24295251095416787,0.00527294393002361,1.7613902024793403e-05
V275,False,0.016155857191741098,0.0009104117935821892,8.253091361043463e-06
id_36,False,0.01424051491657956,0.00030539425612143624,7.971954187013797e-06
V230,False,0.008957546413413573,0.0003212301244803057,7.83214076507388e-06
V95,False,0.02272112453639513,0.0028395031581154306,3.856088698439564e-06
id_28,False,0.003306471234555111,9.296824344551155e-05,2.7904428791969417e-06
V92,False,0.005788709069993915,4.115186885556917e-05,1.8831659668649968e-06
V84,False,0.0044999812825464855,0.0002565555872457552,1.430714198702443e-06
V15,False,0.0,0.0,0.0
id_32,False,0.0,0.0,0.0
id_22,False,0.0,0.0,0.0
V31,False,0.0,0.0,0.0
V42,False,0.017677393295117593,0.00042263526103331105,-9.16878297052559e-07
id_29,False,0.0010289253681800474,3.481710921542911e-05,-9.297161035370926e-07
id_37,False,0.03302774328115359,0.0003675373402732627,-5.451428886293908e-06
V48,False,0.01723017286576435,0.0038585673484548434,-5.686069467114585e-06
V233,False,0.046805478318292806,0.0012512507891604312,-8.079295510243778e-06
V265,False,0.041599939069917755,0.0002962242092005535,-1.2065164723040755e-05
is_new_device,True,0.054972614744205055,0.0006070706766441416,-2.228244047681738e-05
V93,False,0.010010373778856758,0.00031294258076102236,-2.3804098128210606e-05
V71,False,0.029298499582106233,0.001599807627961526,-3.573311737399276e-05
id_26,False,0.013066432658105498,0.0004182889181819126,-3.630736648265742e-05
V72,False,0.1440075927629519,0.003291880532613038,-3.695982911837703e-05
V295,False,0.04711829018798693,0.001286655728842192,-4.9496001094517796e-05
id_16,False,0.048572814869173475,0.00265348741959493,-5.934572721210119e-05
V229,False,0.07410747379205547,0.0018123428373944606,-8.746818295305437e-05
V168,False,0.03408783342963928,0.0022508887437095006,-0.00010999497327597307
V218,False,0.13636443377881594,0.0014693588643075444,-0.00016147889252304815
V32,False,0.014899055472605933,0.000948492879510298,-0.00021198109715634406
V60,False,0.04808323120839647,0.0036416313667468597,-0.0002505248311054142
id_13,False,0.2583168057258735,0.007856459331421125,-0.00027805361920683056
id_17,False,0.07158526344397921,0.006244619743079653,-0.0002895967490928464
V219,False,0.1633634403846527,0.0045626556376746966,-0.0002996917959831924
id_30,False,1.1051459332816402,0.03868424882161578,-0.0004894548574566171
