column,kind,missing_rate,flag_high_missing,flag_near_constant,corr,auc,rank_metric,cramers_v,fraud_rate_spread
V295,numeric,2.0320384732617603e-05,False,False,-0.0016814534685523127,0.5918939644651295,0.5918939644651295,,
V308,numeric,2.0320384732617603e-05,False,False,0.0032532793791577716,0.591826804740719,0.591826804740719,,
V87,numeric,0.15098723202492634,False,False,0.25173744221271527,0.5906570707271025,0.5906570707271025,,
V242,numeric,0.7791343516103905,False,False,0.36059049026595935,0.5898240219744612,0.5898240219744612,,
V102,numeric,0.0005317167338368274,False,False,-0.00484762179315576,0.5896429016970893,0.5896429016970893,,
C14,numeric,0.0,False,False,0.007920558690608346,0.5894880839512509,0.5894880839512509,,
V133,numeric,0.0005317167338368274,False,False,-0.0031653122963093638,0.5889327976324228,0.5889327976324228,,
D2,numeric,0.4754919226470688,False,False,-0.08358321970827085,0.5887527810997071,0.5887527810997071,,
V38,numeric,0.2861262573238053,False,False,0.19900451029870594,0.5886506806851849,0.5886506806851849,,
V44,numeric,0.2861262573238053,False,False,0.2603761673461965,0.5854819928300857,0.5854819928300857,,
V103,numeric,0.0005317167338368274,False,False,-0.0051207189203271095,0.5850560468802098,0.5850560468802098,,
V134,numeric,0.0005317167338368274,False,False,-0.003511901830277897,0.584428397687681,0.584428397687681,,
V95,numeric,0.0005317167338368274,False,False,-0.004119681936686735,0.5843492997381029,0.5843492997381029,,
D4,numeric,0.2860466691502693,False,False,-0.06721630255951241,0.5842972701135056,0.5842972701135056,,
V126,numeric,0.0005317167338368274,False,False,-0.0035455731415698394,0.5825395021433457,0.5825395021433457,,
V97,numeric,0.0005317167338368274,False,False,-0.004490564812845985,0.5821587158419524,0.5821587158419524,,
V86,numeric,0.15098723202492634,False,False,0.25182798642395543,0.5815176643087107,0.5815176643087107,,
V306,numeric,2.0320384732617603e-05,False,False,-0.0018631493144336325,0.5808209243269309,0.5808209243269309,,
V279,numeric,2.0320384732617603e-05,False,False,-0.0037511494423917253,0.5805839496614151,0.5805839496614151,,
V186,numeric,0.763553696616656,False,False,0.1489080729313891,0.5802731371365052,0.5802731371365052,,
V128,numeric,0.0005317167338368274,False,False,-0.0019302533744437744,0.5802171721361112,0.5802171721361112,,
V189,numeric,0.7632353439225116,False,False,0.308219460369124,0.5797406395738096,0.5797406395738096,,
id_06,numeric,0.7682375452975243,False,False,-0.027139434813318927,0.5770980883339496,0.5770980883339496,,
V78,numeric,0.15098723202492634,False,False,0.15042457212509505,0.5751095117049089,0.5751095117049089,,
V35,numeric,0.2861262573238053,False,False,-0.07711565286472981,0.5742582799118903,0.5742582799118903,,
C6,numeric,0.0,False,False,0.020908983553783834,0.5732415144875368,0.5732415144875368,,
V101,numeric,0.0005317167338368274,False,False,-0.004712109985837034,0.5724599822545289,0.5724599822545289,,
V37,numeric,0.2861262573238053,False,False,0.1769468459122026,0.5720714187442626,0.5720714187442626,,
V132,numeric,0.0005317167338368274,False,False,-0.004263114526566466,0.5719061077386579,0.5719061077386579,,
V188,numeric,0.7632353439225116,False,False,0.30358227133771915,0.5718641016220717,0.5718641016220717,,
V36,numeric,0.2861262573238053,False,False,-0.06987475318173855,0.5717537784924468,0.5717537784924468,,
V316,numeric,2.0320384732617603e-05,False,False,-0.002960280683266066,0.5665922583452928,0.5665922583452928,,
V293,numeric,2.0320384732617603e-05,False,False,-0.004500804251332716,0.5663380753010462,0.5663380753010462,,
V292,numeric,2.0320384732617603e-05,False,False,0.026778500159434337,0.5651138019324471,0.5651138019324471,,
D12,numeric,0.8904104717715988,False,False,-0.028863827846510773,0.5648202443665515,0.5648202443665515,,
V77,numeric,0.15098723202492634,False,False,0.15838120990921878,0.5635618008145162,0.5635618008145162,,
D6,numeric,0.8760676668811597,False,False,-0.05723557903343884,0.5617209692014588,0.5617209692014588,,
V234,numeric,0.7605310393876791,False,False,-0.01935764456292577,0.5616769685825264,0.5616769685825264,,
V62,numeric,0.13055169844549055,False,False,0.07239883344940602,0.5602973128997677,0.5602973128997677,,
V236,numeric,0.7791343516103905,False,False,0.03997919668887188,0.5577076739745067,0.5577076739745067,,
V277,numeric,0.7791343516103905,False,False,0.010737611969998048,0.5575580527964238,0.5575580527964238,,
V291,numeric,2.0320384732617603e-05,False,False,0.020440597912171926,0.5571684549236191,0.5571684549236191,,
V222,numeric,0.7605310393876791,False,False,0.16638276427445287,0.5570359160560248,0.5570359160560248,,
V83,numeric,0.15098723202492634,False,False,0.06915472593125474,0.5559109361409484,0.5559109361409484,,
D14,numeric,0.8946946862193924,False,False,-0.00866257555117874,0.5543542707528313,0.5543542707528313,,
V12,numeric,0.1288193856470349,False,False,-0.052406009175090605,0.5510616985788617,0.5510616985788617,,
V237,numeric,0.7791343516103905,False,False,0.04272232327489822,0.5510490500999101,0.5510490500999101,,
V278,numeric,0.7791343516103905,False,False,0.010039548848609397,0.550954253405892,0.550954253405892,,
V76,numeric,0.15098723202492634,False,False,-0.04641888285405,0.5504119470206121,0.5504119470206121,,
V13,numeric,0.1288193856470349,False,False,-0.045706270838045765,0.5498113496355342,0.5498113496355342,,
V75,numeric,0.15098723202492634,False,False,-0.0521711184010788,0.5497698210836222,0.5497698210836222,,
V61,numeric,0.13055169844549055,False,False,0.04941222763739381,0.5482417204067834,0.5482417204067834,,
V180,numeric,0.7632353439225116,False,False,-0.009338650071619372,0.548119738406307,0.548119738406307,,
V239,numeric,0.7605310393876791,False,False,0.1413945261994247,0.5479019676409445,0.5479019676409445,,
V182,numeric,0.763553696616656,False,False,-0.010107615049371304,0.5474548610368575,0.5474548610368575,,
V215,numeric,0.763553696616656,False,False,-0.004800878155437685,0.5474270142648974,0.5474270142648974,,
V261,numeric,0.7791343516103905,False,False,0.10478494260852943,0.5465614788854813,0.5465614788854813,,
